"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9"
"24661341","1341",90.00,40.00,130.00,10.00,75.00,70.00,155.00,150.00
"24661342","1342",45.00,180.00,225.00,10.00,55.00,190.00,140.00,330.00
"24661343","1343",145.00,310.00,620.00,25.00,165.00,350.00,460.00,625.00
"24661344","1344",200.00,10.00,160.00,0.00,100.00,10.00,125.00,100.00
"24661345","1345",140.00,5.00,160.00,5.00,80.00,20.00,190.00,70.00
"24661346","1346",385.00,35.00,315.00,10.00,220.00,40.00,520.00,240.00
"24661347","1347",175.00,10.00,160.00,0.00,100.00,35.00,235.00,105.00
"24661348","1348",120.00,45.00,255.00,0.00,70.00,75.00,260.00,145.00
"24661349","1349",45.00,50.00,315.00,0.00,115.00,110.00,385.00,65.00
"24661350","1350",10.00,70.00,335.00,0.00,40.00,170.00,255.00,130.00
"24661351","1351",50.00,505.00,715.00,5.00,120.00,390.00,470.00,365.00
"24661352","1352",25.00,130.00,495.00,5.00,90.00,245.00,410.00,210.00
"24661353","1353",15.00,105.00,405.00,5.00,70.00,250.00,330.00,170.00
"24661354","1354",40.00,115.00,415.00,10.00,75.00,195.00,360.00,165.00
"24661355","1355",20.00,125.00,465.00,0.00,115.00,240.00,450.00,210.00
"24661356","1356",50.00,95.00,380.00,15.00,35.00,235.00,340.00,120.00
"24661357","1357",55.00,70.00,390.00,10.00,60.00,210.00,380.00,135.00
"24661358","1358",60.00,90.00,380.00,25.00,75.00,145.00,385.00,125.00
"24661359","1359",120.00,65.00,405.00,45.00,115.00,190.00,495.00,135.00
"24661360","1360",55.00,60.00,290.00,45.00,100.00,160.00,355.00,120.00
"24661361","1361",65.00,100.00,445.00,15.00,110.00,235.00,405.00,195.00
"24661362","1362",80.00,110.00,580.00,35.00,135.00,315.00,555.00,215.00
"24661363","1363",10.00,120.00,355.00,5.00,70.00,175.00,310.00,170.00
"24661364","1364",200.00,65.00,425.00,75.00,130.00,215.00,640.00,145.00
"24661365","1365",210.00,40.00,275.00,65.00,105.00,130.00,435.00,125.00
"24661366","1366",315.00,10.00,285.00,80.00,120.00,45.00,550.00,135.00
"24661367","1367",235.00,105.00,570.00,85.00,215.00,285.00,665.00,195.00
"24661368","1368",195.00,50.00,450.00,85.00,185.00,155.00,600.00,175.00
"24661369","1369",110.00,70.00,395.00,45.00,170.00,165.00,470.00,165.00
"24661370","1370",65.00,90.00,435.00,10.00,120.00,225.00,395.00,195.00
"24661371","1371",45.00,70.00,430.00,10.00,180.00,170.00,355.00,140.00
"24661372","1372",35.00,50.00,305.00,5.00,105.00,120.00,285.00,80.00
"24661373","1373",50.00,80.00,285.00,10.00,75.00,170.00,270.00,85.00
"24661374","1374",20.00,35.00,205.00,10.00,35.00,140.00,175.00,40.00
"24661375","1375",35.00,265.00,595.00,10.00,125.00,330.00,560.00,300.00
"24661376","1376",50.00,95.00,420.00,0.00,140.00,260.00,435.00,135.00
"24661377","1377",55.00,60.00,260.00,10.00,90.00,120.00,200.00,140.00
"24661378","1378",55.00,90.00,375.00,20.00,110.00,245.00,375.00,170.00
"24661379","1379",55.00,70.00,370.00,15.00,110.00,205.00,355.00,115.00
"24661380","1380",35.00,45.00,350.00,10.00,95.00,115.00,315.00,90.00
"24661381","1381",155.00,50.00,420.00,50.00,100.00,125.00,455.00,165.00
"24661382","1382",115.00,30.00,480.00,45.00,140.00,205.00,320.00,155.00
"24661383","1383",215.00,75.00,705.00,45.00,275.00,305.00,875.00,195.00
"24661384","1384",235.00,30.00,380.00,70.00,220.00,120.00,585.00,125.00
"24661385","1385",180.00,40.00,355.00,40.00,150.00,100.00,550.00,145.00
"24661386","1386",75.00,65.00,235.00,20.00,85.00,100.00,360.00,70.00
"24661387","1387",185.00,20.00,195.00,40.00,95.00,35.00,240.00,140.00
"24661388","1388",150.00,20.00,245.00,35.00,100.00,45.00,270.00,115.00
"24661389","1389",160.00,25.00,210.00,30.00,105.00,115.00,380.00,100.00
"24661390","1390",130.00,10.00,235.00,50.00,70.00,45.00,300.00,70.00
"24661391","1391",125.00,35.00,280.00,50.00,120.00,75.00,450.00,80.00
"24661392","1392",60.00,50.00,335.00,10.00,95.00,190.00,345.00,95.00
"24661393","1393",135.00,20.00,170.00,45.00,85.00,25.00,250.00,65.00
"24661394","1394",175.00,25.00,425.00,75.00,155.00,90.00,440.00,90.00
"24661395","1395",85.00,70.00,295.00,15.00,100.00,110.00,385.00,75.00
"24661396","1396",100.00,70.00,405.00,20.00,135.00,190.00,440.00,130.00
"24661397","1397",15.00,65.00,315.00,0.00,55.00,220.00,415.00,60.00
"24661398","1398",10.00,95.00,385.00,5.00,40.00,235.00,325.00,175.00
"24661399","1399",20.00,55.00,365.00,0.00,50.00,180.00,335.00,70.00
"24661400","1400",20.00,50.00,340.00,0.00,45.00,140.00,285.00,95.00
"24661401","1401",75.00,55.00,305.00,15.00,60.00,100.00,240.00,180.00
"24661402","1402",160.00,195.00,1055.00,10.00,210.00,310.00,850.00,530.00
"24661405","1405",190.00,265.00,830.00,30.00,215.00,265.00,430.00,835.00
"24661407","1407",15.00,100.00,465.00,5.00,60.00,210.00,330.00,190.00
"24661408","1408",35.00,95.00,310.00,5.00,55.00,95.00,165.00,180.00
