COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10
24663146,3146,551,60,145,340,5,70,115,350,110
24663147,3147,580,75,160,340,5,55,170,425,120
24663149,3149,298,40,85,170,0,25,25,235,50
24663150,3150,508,90,155,250,10,45,165,355,120
24663151,3151,1191,285,45,600,40,195,80,515,435
24663152,3152,589,185,20,300,0,70,45,235,135
24663153,3153,267,85,20,155,5,45,15,105,145
24663154,3154,529,120,30,370,10,115,50,335,190
24663155,3155,446,110,5,315,15,75,10,235,180
24663156,3156,680,135,20,520,10,120,25,390,240
24663157,3157,510,120,15,370,5,50,25,310,205
24663158,3158,425,110,20,290,5,40,45,285,165
24663159,3159,478,110,10,345,10,85,20,310,175
24663160,3160,530,135,20,375,0,105,35,325,165
24663161,3161,386,95,15,270,5,105,40,205,180
24663162,3162,435,90,20,315,10,65,15,240,140
24663164,3164,1119,335,40,705,35,200,50,660,495
24663166,3166,3084,1200,60,1615,110,225,60,925,470
24663167,3167,543,135,20,385,5,70,40,350,170
24663168,3168,352,60,5,285,0,80,25,250,75
24663169,3169,622,220,15,360,25,130,20,285,215
24663170,3170,480,110,25,335,10,95,25,325,150
24663171,3171,593,185,15,380,10,125,20,435,135
24663172,3172,741,175,25,510,35,135,70,355,365
24663173,3173,516,125,5,370,10,110,30,370,205
24663174,3174,836,170,25,605,30,85,35,380,375
24663175,3175,498,110,15,370,5,80,15,320,140
24663176,3176,458,75,15,360,10,35,20,265,140
24663177,3177,402,80,30,280,10,110,35,260,175
24663178,3178,378,80,15,275,5,35,20,225,130
24663179,3179,373,90,10,265,5,50,0,230,105
24663180,3180,499,120,10,360,15,70,50,250,190
24663181,3181,435,75,40,315,5,60,80,245,250
24663182,3182,1015,360,65,550,45,85,50,750,275
24663183,3183,516,140,10,360,5,90,25,440,85
24663184,3184,396,65,5,320,10,30,20,240,95
24663185,3185,644,100,10,525,10,145,35,470,135
24663186,3186,452,60,10,380,5,90,55,365,140
24663187,3187,369,55,15,295,10,35,10,290,75
24663188,3188,436,55,20,365,0,35,50,325,110
24663189,3189,444,45,75,305,15,45,65,190,215
24663190,3190,672,80,80,505,10,60,120,425,245
24663191,3191,528,125,80,315,10,95,90,110,190
24663194,3194,539,135,75,310,15,125,65,220,335
24663195,3195,342,100,30,200,10,70,0,90,210
24663196,3196,409,100,40,265,5,60,50,175,120
24663197,3197,460,75,50,330,10,55,70,190,175
24663198,3198,519,100,60,345,15,55,80,280,150
24663199,3199,481,125,50,300,10,70,65,220,120
24663200,3200,393,120,45,210,5,65,45,185,255
24663201,3201,400,70,55,270,5,50,65,210,105
24663202,3202,809,180,85,535,10,170,100,395,255
24663203,3203,759,190,55,510,10,150,70,385,300
24663204,3204,368,90,30,245,5,50,35,170,140
24663205,3205,536,140,55,330,10,155,55,265,175
24663206,3206,589,115,85,375,15,140,120,230,280
24663207,3207,901,180,90,615,15,130,110,440,335
24663208,3208,655,105,45,495,5,90,115,465,150
24663209,3209,608,70,45,490,5,90,90,440,190
24663210,3210,516,85,45,380,5,110,15,340,175
24663211,3211,366,35,45,285,5,50,65,265,110
24663212,3212,1018,325,100,570,20,315,90,350,450
24663213,3213,378,75,35,260,10,65,55,225,105
24663214,3214,501,100,50,335,15,85,110,205,200
24663215,3215,802,200,90,495,15,155,110,375,265
24663216,3216,782,30,355,380,5,30,260,460,185
24663217,3217,504,20,205,280,5,20,160,395,130
24663218,3218,668,25,255,370,15,10,165,455,150
24663219,3219,596,20,230,330,15,20,220,340,245
24663220,3220,588,20,245,320,5,20,180,390,135
24663221,3221,428,10,190,220,5,10,155,295,135
24663222,3222,319,10,125,170,15,10,110,200,140
24663223,3223,637,20,260,340,15,20,200,375,310
24663227,3227,593,5,285,295,0,0,215,480,75
24663228,3228,621,5,335,285,0,10,235,550,80
24663229,3229,433,10,215,205,0,0,175,355,75
24663230,3230,483,0,230,240,5,20,195,425,65
24663231,3231,646,10,325,315,0,0,225,495,85
24663232,3232,568,10,275,280,0,0,220,415,115
24663233,3233,482,5,230,225,5,0,185,370,115
24663234,3234,575,10,320,240,5,10,195,465,150
24663235,3235,1461,10,770,670,10,20,520,1125,270
24663236,3236,502,5,245,245,0,10,195,375,105
24663237,3237,417,5,195,205,10,10,165,295,90
24663238,3238,446,10,255,175,0,10,215,365,100
24663239,3239,716,10,340,330,10,20,265,525,135
24663241,3241,1100,55,445,425,25,45,265,425,255
24663242,3242,1674,865,75,685,45,625,90,290,635
24663243,3243,1022,455,45,505,15,335,65,260,450
24663244,3244,1028,185,60,760,20,205,95,590,325
24663245,3245,991,210,170,600,15,150,145,340,450
24663246,3246,1594,595,70,915,20,420,120,660,650
24663249,3249,722,195,90,435,5,130,110,340,215
24663250,3250,1072,345,115,405,200,165,60,340,470
24663251,3251,854,35,370,425,25,15,170,425,280
24663253,3253,1511,230,605,615,60,120,340,485,660
24663254,3254,1526,95,160,1260,5,75,210,1035,400
24663255,3255,1505,210,215,1050,40,165,205,770,615
24663256,3256,994,195,20,775,0,205,45,730,310
24663257,3257,968,180,45,645,10,125,40,625,205
24663258,3258,1027,315,20,690,5,115,45,735,280
24663259,3259,1115,390,90,615,20,155,45,650,565
24663260,3260,1783,165,235,1355,35,180,315,1300,445
24663261,3261,1137,160,125,680,30,80,140,365,560
24663262,3262,1496,225,245,975,55,85,150,540,810
24663264,3264,1225,410,245,545,25,215,150,335,700
24663266,3266,836,220,195,360,60,120,120,265,420
24663269,3269,888,225,30,600,30,215,40,595,390
24663270,3270,1121,170,390,540,20,65,200,465,585
24663271,3271,638,15,225,215,5,0,55,80,65
24663273,3273,973,520,70,340,40,320,75,240,630
24663274,3274,685,135,180,365,10,120,135,215,360
24663275,3275,1083,180,160,500,30,150,130,305,400
24663276,3276,1104,5,745,350,5,10,370,1055,70
24663277,3277,2061,25,1290,690,45,0,85,350,275
24663279,3279,2054,700,135,1165,60,340,230,825,1010
24663280,3280,1052,175,55,490,5,115,30,430,245
24663281,3281,1079,20,510,475,0,25,150,765,145
24663282,3282,514,10,105,100,5,0,55,165,75
24663283,3283,651,15,305,315,10,15,190,415,125
24663285,3285,791,130,135,480,45,110,115,440,325
24663286,3286,652,95,65,480,10,90,60,385,145
24663287,3287,592,50,30,505,5,70,70,440,125
24663288,3288,749,145,40,555,10,125,15,500,180
24663289,3289,674,70,110,490,5,105,155,550,150
24663290,3290,877,90,245,530,20,135,115,550,230
24663291,3291,571,75,145,320,35,45,105,155,330
24663292,3292,843,5,425,395,10,35,315,660,120
24663293,3293,1393,25,375,840,5,40,240,950,225
24663294,3294,471,100,10,345,10,145,10,325,110
24663295,3295,903,320,45,510,25,215,40,390,415
24663296,3296,643,200,85,335,30,110,110,190,395
24663297,3297,673,25,180,385,10,40,195,415,250
